po_number,date,supplier,material_id,qty_ordered,qty_received,unit_price,total_eur,expected_delivery,actual_delivery,delay_days,quality_score
PO-00022,2025-11-29,Karteks Banja Luka,MAT_0445,11742,11742,0.68,8025.09,2025-12-02,2025-12-09,7,4
PO-01485,2025-11-29,Texon International,MAT_0132,425,425,3.78,1604.93,2025-12-19,2025-12-22,3,5
PO-01912,2025-11-29,Texon International,MAT_0024,1704,1704,2.77,4721.19,2025-12-14,2025-12-14,0,5
PO-01536,2025-11-29,Global Trim,MAT_0467,5546,5546,0.11,609.02,2026-01-02,2026-01-02,0,4
PO-01718,2025-11-30,Coats Group,MAT_0269,499,499,6.0,2994.94,2025-12-15,2025-12-15,0,5
PO-01495,2025-11-30,Henkel AG,MAT_0013,756,756,15.5,11717.23,2025-12-09,2025-12-09,0,4
PO-01486,2025-11-30,NXP Semiconductors,MAT_0486,1408,1408,0.41,574.01,2025-12-10,2025-12-10,0,4
PO-01917,2025-11-30,Zecchetto Accessori,MAT_0475,1905,1905,0.97,1848.01,2025-12-15,2025-12-15,0,3
PO-00829,2025-11-30,Zhejiang Paper,MAT_0430,10825,10825,0.09,965.94,2026-01-05,2026-01-05,0,5
PO-01252,2025-11-30,Gomma Padana,MAT_0376,362,362,13.61,4925.41,2025-12-15,2025-12-16,1,5
PO-01747,2025-12-01,Toray Composite,MAT_0295,131,131,39.13,5125.45,2026-01-16,2026-01-16,0,5
PO-00088,2025-12-01,Henkel AG,MAT_0363,163,163,23.98,3908.2,2025-12-09,2025-12-09,0,4
PO-00145,2025-12-01,Crocs Inc (supplied),MAT_0208,255,194,10.07,1952.92,2026-01-04,2026-01-04,0,5
PO-01345,2025-12-01,American & Efird,MAT_0155,799,799,7.01,5600.13,2026-01-06,2026-01-06,0,4
PO-00479,2025-12-01,Crocs Inc (supplied),MAT_0233,636,636,8.91,5664.97,2026-01-10,2026-01-10,0,4
PO-01938,2025-12-01,Shenzhen Minghui,MAT_0189,13350,13350,0.03,395.51,2026-01-04,2026-01-17,13,4
PO-00234,2025-12-01,Covestro AG,MAT_0166,339,339,9.04,3063.72,2025-12-09,2025-12-09,0,3
PO-00734,2025-12-02,Foam Italia,MAT_0150,2483,2483,4.65,11548.33,2025-12-10,2025-12-10,0,5
PO-00277,2025-12-02,Covestro AG,MAT_0464,476,476,8.08,3846.67,2025-12-09,2025-12-09,0,2
PO-00952,2025-12-02,Far Eastern Textile,MAT_0456,1643,1094,3.35,3669.95,2026-01-11,2026-01-11,0,4
PO-01583,2025-12-03,Karteks Banja Luka,MAT_0345,7505,7505,0.78,5826.64,2025-12-07,2025-12-07,0,2
PO-00563,2025-12-03,Zhejiang Paper,MAT_0172,7615,7615,0.09,687.45,2026-01-03,2026-01-03,0,4
PO-00721,2025-12-03,Covestro AG,MAT_0464,571,571,8.06,4599.64,2025-12-10,2025-12-10,0,4
PO-01031,2025-12-03,Gomma Padana,MAT_0190,224,224,13.34,2988.46,2025-12-17,2025-12-17,0,2
PO-01598,2025-12-03,Henkel AG,MAT_0321,742,742,23.75,17619.37,2025-12-14,2025-12-29,15,4
PO-01442,2025-12-03,NXP Semiconductors,MAT_0270,3094,3094,0.41,1265.52,2025-12-12,2025-12-12,0,5
PO-01607,2025-12-04,Foam Italia,MAT_0005,2801,2801,5.24,14685.48,2025-12-12,2025-12-12,0,4
PO-01241,2025-12-04,Toray Composite,MAT_0162,96,96,46.82,4494.84,2026-01-16,2026-01-16,0,3
PO-01255,2025-12-04,Henkel AG,MAT_0090,230,230,19.26,4430.72,2025-12-12,2025-12-13,1,3
PO-00993,2025-12-05,American & Efird,MAT_0442,1538,1538,7.18,11036.76,2026-01-02,2026-01-04,2,4
PO-01175,2025-12-05,Texon International,MAT_0293,752,484,2.93,1416.04,2025-12-26,2025-12-26,0,4
PO-01009,2025-12-05,Zecchetto Accessori,MAT_0359,746,746,0.73,543.88,2025-12-19,2025-12-21,2,3
PO-00754,2025-12-06,Far Eastern Textile,MAT_0348,732,732,3.79,2771.58,2026-01-12,2026-01-14,2,4
PO-00823,2025-12-06,Zhejiang Paper,MAT_0494,5273,5273,0.08,422.29,2026-01-10,2026-01-10,0,3
PO-00182,2025-12-06,Global Trim,MAT_0341,4473,4473,0.11,493.5,2026-01-16,2026-01-16,0,4
PO-01944,2025-12-06,Toray Industries,MAT_0443,805,606,20.95,12692.84,2026-01-17,2026-01-25,8,4
PO-01688,2025-12-06,Foam Italia,MAT_0499,2318,2318,4.69,10868.88,2025-12-20,2025-12-26,6,4
PO-01876,2025-12-06,Far Eastern Textile,MAT_0217,1530,1530,4.37,6680.9,2026-01-20,2026-01-20,0,4
PO-01637,2025-12-06,Global Trim,MAT_0112,8446,8446,0.14,1168.52,2026-01-11,2026-01-11,0,5
PO-01013,2025-12-07,Shenzhen Minghui,MAT_0406,18064,18064,0.03,539.47,2026-01-14,2026-01-14,0,3
PO-01147,2025-12-07,Far Eastern Textile,MAT_0456,1090,1090,3.31,3611.61,2026-01-16,2026-01-16,0,4
PO-01146,2025-12-07,Far Eastern Textile,MAT_0288,1095,1095,3.47,3804.61,2026-01-20,2026-01-20,0,5
PO-00128,2025-12-07,Toray Composite,MAT_0369,133,133,44.74,5950.03,2026-01-14,2026-01-14,0,5
PO-00134,2025-12-07,Crocs Inc (supplied),MAT_0211,1431,1431,8.45,12096.26,2026-01-10,2026-01-10,0,4
PO-01219,2025-12-07,Karteks Banja Luka,MAT_0367,792,792,0.58,460.11,2025-12-10,2025-12-15,5,4
PO-00099,2025-12-08,Zecchetto Accessori,MAT_0156,2530,2530,1.04,2634.86,2025-12-15,2025-12-16,1,5
PO-01705,2025-12-08,Toray Composite,MAT_0369,153,153,44.26,6771.28,2026-01-15,2026-01-15,0,4
PO-00089,2025-12-08,Covestro AG,MAT_0461,106,82,9.72,797.44,2025-12-15,2025-12-15,0,3
PO-00713,2025-12-08,Texon International,MAT_0023,1927,1927,3.31,6370.92,2025-12-26,2025-12-26,0,4
PO-01746,2025-12-08,Texon International,MAT_0286,680,680,3.94,2681.15,2025-12-19,2025-12-19,0,4
PO-01480,2025-12-08,Zhejiang Paper,MAT_0494,6577,6577,0.08,532.65,2026-01-12,2026-01-12,0,4
PO-01525,2025-12-08,Coats Group,MAT_0462,1120,1120,6.71,7511.74,2025-12-22,2025-12-22,0,3
PO-00305,2025-12-08,Coats Group,MAT_0245,1166,1039,4.92,5108.24,2025-12-23,2025-12-31,8,3
PO-01149,2025-12-08,Texon International,MAT_0138,632,632,2.58,1631.25,2025-12-26,2025-12-28,2,4
PO-00723,2025-12-09,Zhejiang Paper,MAT_0019,17231,17231,0.08,1402.39,2026-01-23,2026-01-23,0,5
PO-01313,2025-12-09,NXP Semiconductors,MAT_0415,3949,3949,0.51,2013.44,2025-12-23,2025-12-23,0,1
PO-01288,2025-12-09,Karteks Banja Luka,MAT_0367,2626,2626,0.57,1504.35,2025-12-12,2025-12-12,0,4
PO-00542,2025-12-09,Global Trim,MAT_0392,11298,11298,0.11,1206.97,2026-01-18,2026-01-18,0,2
PO-01253,2025-12-09,Far Eastern Textile,MAT_0168,2998,2998,4.47,13409.27,2026-01-10,2026-01-10,0,4
PO-01873,2025-12-09,Zhejiang Paper,MAT_0083,6841,6841,0.07,483.57,2026-01-22,2026-01-22,0,1
PO-01540,2025-12-09,Toray Composite,MAT_0103,184,112,37.41,4190.48,2026-01-28,2026-01-29,1,3
PO-00942,2025-12-09,Zecchetto Accessori,MAT_0197,5073,3475,1.06,3673.82,2025-12-27,2025-12-27,0,4
PO-00321,2025-12-10,Covestro AG,MAT_0258,1176,1176,8.49,9987.56,2025-12-22,2025-12-22,0,4
PO-01280,2025-12-10,Toray Industries,MAT_0238,547,547,18.1,9899.85,2026-01-31,2026-01-31,0,4
PO-00793,2025-12-10,Toray Composite,MAT_0372,86,86,40.67,3497.25,2026-01-16,2026-01-16,0,5
PO-00585,2025-12-10,Gomma Padana,MAT_0196,1717,1110,12.84,14250.21,2025-12-26,2025-12-26,0,5
PO-01473,2025-12-10,Texon International,MAT_0084,1789,1789,3.27,5842.48,2025-12-30,2025-12-30,0,4
PO-00082,2025-12-10,Henkel AG,MAT_0161,399,399,21.62,8624.63,2025-12-25,2025-12-28,3,3
PO-00416,2025-12-11,Covestro AG,MAT_0323,405,405,10.81,4379.36,2025-12-23,2025-12-23,0,3
PO-00216,2025-12-11,Crocs Inc (supplied),MAT_0063,1132,1132,9.2,10413.8,2026-01-16,2026-01-16,0,4
PO-00496,2025-12-11,Gomma Padana,MAT_0231,353,333,12.36,4115.37,2025-12-21,2025-12-21,0,4
PO-00598,2025-12-11,Texon International,MAT_0135,239,239,2.9,692.08,2025-12-26,2025-12-26,0,4
PO-01323,2025-12-11,Crocs Inc (supplied),MAT_0253,1320,1320,9.65,12735.05,2026-01-07,2026-01-07,0,3
PO-00283,2025-12-12,Karteks Banja Luka,MAT_0421,6160,4090,0.73,2983.0,2025-12-14,2025-12-14,0,5
PO-01962,2025-12-12,Foam Italia,MAT_0319,1379,1379,6.15,8476.26,2025-12-26,2025-12-26,0,3
PO-00436,2025-12-12,Toray Composite,MAT_0162,312,312,48.0,14975.8,2026-01-24,2026-01-24,0,5
PO-00261,2025-12-13,Crocs Inc (supplied),MAT_0211,298,298,8.47,2523.27,2026-01-16,2026-01-16,0,5
PO-00113,2025-12-13,Coats Group,MAT_0195,1830,1830,5.92,10841.14,2025-12-30,2025-12-30,0,4
PO-01701,2025-12-14,Global Trim,MAT_0112,12224,12224,0.14,1682.5,2026-01-19,2026-01-19,0,4
PO-01855,2025-12-14,Zecchetto Accessori,MAT_0254,1450,1450,0.98,1421.47,2025-12-26,2025-12-26,0,3
PO-00776,2025-12-14,Shenzhen Minghui,MAT_0189,18193,18193,0.03,548.01,2026-01-17,2026-01-17,0,4
PO-00049,2025-12-15,Zecchetto Accessori,MAT_0110,3499,2568,1.01,2589.7,2025-12-27,2025-12-27,0,4
PO-00308,2025-12-15,Texon International,MAT_0281,599,515,3.51,1806.57,2025-12-27,2025-12-27,0,4
PO-01439,2025-12-15,Coats Group,MAT_0038,1465,1465,5.14,7525.78,2026-01-05,2026-01-05,0,5
PO-01181,2025-12-15,Karteks Banja Luka,MAT_0071,3101,3101,0.77,2398.92,2025-12-20,2025-12-24,4,2
PO-01029,2025-12-16,Gomma Padana,MAT_0265,685,685,14.08,9644.46,2025-12-25,2025-12-25,0,5
PO-01644,2025-12-16,Texon International,MAT_0286,638,638,3.95,2519.75,2025-12-27,2025-12-27,0,5
PO-01363,2025-12-16,Far Eastern Textile,MAT_0230,1750,1750,3.94,6893.65,2026-01-26,2026-01-26,0,3
PO-01633,2025-12-16,Covestro AG,MAT_0381,612,612,8.93,5467.32,2025-12-28,2025-12-28,0,5
PO-01933,2025-12-16,Global Trim,MAT_0314,13544,13544,0.12,1633.31,2026-01-27,2026-01-28,1,5
PO-01561,2025-12-16,Texon International,MAT_0024,2415,1846,2.79,5145.16,2025-12-31,2025-12-31,0,5
PO-01232,2025-12-17,Toray Composite,MAT_0390,111,111,46.95,5210.97,2026-02-09,2026-02-09,0,5
PO-01352,2025-12-17,Global Trim,MAT_0112,6508,6508,0.14,900.43,2026-01-22,2026-01-22,0,5
PO-01779,2025-12-17,Gomma Padana,MAT_0131,783,638,13.14,8382.36,2025-12-26,2025-12-26,0,5
PO-00287,2025-12-17,Zecchetto Accessori,MAT_0463,1295,1295,0.98,1273.51,2025-12-29,2025-12-29,0,2
PO-00363,2025-12-18,Shenzhen Minghui,MAT_0148,7314,7314,0.03,215.53,2026-01-18,2026-01-18,0,4
PO-01909,2025-12-18,American & Efird,MAT_0124,217,217,7.64,1657.24,2026-01-24,2026-01-24,0,4
PO-00092,2025-12-18,Toray Industries,MAT_0303,727,516,20.95,10812.58,2026-02-09,2026-02-13,4,5
PO-00958,2025-12-18,Karteks Banja Luka,MAT_0074,3749,3749,0.54,2032.41,2025-12-22,2025-12-23,1,4
PO-00586,2025-12-19,Karteks Banja Luka,MAT_0078,4204,4204,0.75,3155.98,2025-12-23,2025-12-23,0,4
PO-01244,2025-12-19,NXP Semiconductors,MAT_0415,3390,3390,0.52,1766.11,2026-01-02,2026-01-02,0,4
PO-01476,2025-12-19,Zecchetto Accessori,MAT_0160,933,933,1.03,960.09,2025-12-26,2025-12-26,0,4
PO-00427,2025-12-19,Zecchetto Accessori,MAT_0401,6298,6298,0.9,5654.5,2025-12-27,2025-12-27,0,5
PO-00432,2025-12-19,Zhejiang Paper,MAT_0201,6386,6386,0.1,634.46,2026-01-24,2026-01-24,0,4
PO-01196,2025-12-19,Texon International,MAT_0264,1664,1664,3.11,5178.56,2026-01-03,2026-01-03,0,5
PO-01299,2025-12-19,Karteks Banja Luka,MAT_0029,9205,9205,0.7,6458.93,2025-12-23,2025-12-23,0,4
PO-01616,2025-12-20,Texon International,MAT_0264,1278,1278,3.13,3994.02,2026-01-04,2026-01-04,0,4
PO-00806,2025-12-20,Zecchetto Accessori,MAT_0475,1204,1204,0.99,1188.28,2026-01-04,2026-01-04,0,3
PO-00526,2025-12-20,Far Eastern Textile,MAT_0272,1299,1299,4.4,5718.77,2026-02-08,2026-02-08,0,5
PO-01824,2025-12-20,Shenzhen Minghui,MAT_0329,5204,5204,0.03,154.62,2026-02-01,2026-02-01,0,4
PO-01627,2025-12-20,American & Efird,MAT_0388,368,368,6.75,2482.57,2026-01-14,2026-01-14,0,5
PO-00462,2025-12-20,Global Trim,MAT_0346,3229,3229,0.12,397.97,2026-01-27,2026-01-27,0,4
PO-01302,2025-12-20,Zhejiang Paper,MAT_0083,9634,9634,0.07,663.57,2026-02-02,2026-02-02,0,4
PO-01120,2025-12-20,Zhejiang Paper,MAT_0268,4538,4538,0.09,417.17,2026-01-24,2026-01-25,1,5
PO-00742,2025-12-21,Henkel AG,MAT_0013,756,756,15.51,11726.63,2025-12-30,2025-12-30,0,5
PO-01956,2025-12-21,Covestro AG,MAT_0311,184,184,8.89,1635.07,2026-01-02,2026-01-02,0,4
PO-00239,2025-12-21,Shenzhen Minghui,MAT_0187,14761,14761,0.04,582.31,2026-01-31,2026-01-31,0,5
PO-01722,2025-12-22,Zhejiang Paper,MAT_0201,8995,8995,0.1,889.17,2026-01-27,2026-01-27,0,5
PO-00016,2025-12-22,Toray Industries,MAT_0274,372,372,17.26,6420.48,2026-01-30,2026-01-30,0,4
PO-00610,2025-12-22,Zhejiang Paper,MAT_0430,12988,12988,0.09,1161.79,2026-01-27,2026-01-27,0,5
PO-01819,2025-12-22,Coats Group,MAT_0022,891,589,5.8,3417.54,2026-01-05,2026-01-07,2,4
PO-01185,2025-12-23,Karteks Banja Luka,MAT_0367,2906,2906,0.57,1650.61,2025-12-26,2025-12-26,0,5
PO-01106,2025-12-23,Coats Group,MAT_0022,676,676,5.85,3957.56,2026-01-06,2026-01-06,0,4
PO-00237,2025-12-23,Global Trim,MAT_0171,6648,6648,0.12,795.03,2026-01-26,2026-01-26,0,4
PO-00836,2025-12-23,Coats Group,MAT_0022,957,957,6.04,5782.56,2026-01-06,2026-01-10,4,4
PO-01841,2025-12-23,Zecchetto Accessori,MAT_0483,3728,3728,1.01,3757.86,2025-12-30,2025-12-30,0,4
PO-00879,2025-12-24,Karteks Banja Luka,MAT_0367,2458,2458,0.57,1391.47,2025-12-27,2025-12-27,0,2
PO-00706,2025-12-24,Zhejiang Paper,MAT_0268,22360,22360,0.09,2056.43,2026-01-28,2026-01-28,0,4
PO-00842,2025-12-24,Zecchetto Accessori,MAT_0356,1894,1894,0.92,1735.03,2026-01-03,2026-01-03,0,4
PO-01905,2025-12-25,Toray Industries,MAT_0221,976,976,16.97,16562.41,2026-01-31,2026-01-31,0,4
PO-00190,2025-12-25,Coats Group,MAT_0038,1580,1580,5.18,8191.75,2026-01-15,2026-01-15,0,5
PO-00296,2025-12-25,Texon International,MAT_0127,2004,2004,3.01,6023.97,2026-01-05,2026-01-05,0,4
PO-00286,2025-12-25,Toray Composite,MAT_0390,139,139,45.8,6365.98,2026-02-17,2026-02-17,0,5
PO-00212,2025-12-26,Toray Composite,MAT_0180,235,235,53.97,12683.1,2026-02-02,2026-02-03,1,4
PO-00279,2025-12-26,American & Efird,MAT_0290,372,372,6.04,2248.38,2026-01-27,2026-01-27,0,2
PO-00505,2025-12-26,NXP Semiconductors,MAT_0394,1345,1345,0.4,536.71,2026-01-10,2026-01-10,0,4
PO-00306,2025-12-26,American & Efird,MAT_0396,856,856,7.6,6509.03,2026-01-22,2026-01-22,0,3
PO-01984,2025-12-26,Karteks Banja Luka,MAT_0367,3138,3138,0.58,1831.61,2025-12-29,2025-12-29,0,4
PO-01600,2025-12-27,Karteks Banja Luka,MAT_0445,6566,6566,0.72,4705.19,2025-12-30,2025-12-30,0,3
PO-00045,2025-12-27,Texon International,MAT_0248,1733,1733,2.87,4972.79,2026-01-08,2026-01-08,0,4
PO-00887,2025-12-27,Texon International,MAT_0084,750,750,3.22,2413.87,2026-01-16,2026-01-16,0,3
PO-00744,2025-12-27,Gomma Padana,MAT_0206,543,543,12.29,6672.85,2026-01-08,2026-01-21,13,4
PO-01651,2025-12-27,Foam Italia,MAT_0117,728,728,3.57,2599.78,2026-01-14,2026-01-31,17,4
PO-00446,2025-12-28,Toray Composite,MAT_0103,163,163,38.46,6269.08,2026-02-16,2026-02-17,1,2
PO-01316,2025-12-28,NXP Semiconductors,MAT_0486,2847,1972,0.39,774.92,2026-01-07,2026-01-07,0,4
PO-01623,2025-12-28,Coats Group,MAT_0195,450,450,5.78,2599.58,2026-01-14,2026-01-14,0,4
PO-00651,2025-12-29,Covestro AG,MAT_0323,260,260,10.41,2706.89,2026-01-10,2026-01-10,0,5
PO-00204,2025-12-29,Zhejiang Paper,MAT_0172,2886,1784,0.09,164.7,2026-01-29,2026-01-29,0,3
PO-00057,2025-12-30,Foam Italia,MAT_0280,934,934,6.12,5714.21,2026-01-10,2026-01-10,0,3
PO-01850,2025-12-30,Global Trim,MAT_0466,12940,12940,0.11,1465.0,2026-02-13,2026-02-16,3,4
PO-00311,2025-12-30,Toray Composite,MAT_0390,198,198,47.09,9323.12,2026-02-22,2026-02-22,0,2
PO-01683,2025-12-30,Covestro AG,MAT_0053,585,585,10.2,5966.67,2026-01-12,2026-01-12,0,4
PO-01648,2025-12-31,Far Eastern Textile,MAT_0334,828,828,3.07,2541.21,2026-01-30,2026-01-30,0,5
PO-00521,2025-12-31,Far Eastern Textile,MAT_0009,2531,2531,3.71,9388.68,2026-02-07,2026-02-07,0,3
PO-01448,2025-12-31,Shenzhen Minghui,MAT_0070,16725,16725,0.03,491.28,2026-02-10,2026-02-10,0,4
PO-00559,2025-12-31,Covestro AG,MAT_0258,1104,1104,8.79,9704.61,2026-01-12,2026-01-12,0,3
PO-00425,2025-12-31,Coats Group,MAT_0075,535,535,6.24,3340.73,2026-01-19,2026-01-19,0,4
PO-00913,2025-12-31,Zecchetto Accessori,MAT_0463,1720,1720,1.03,1768.68,2026-01-12,2026-01-13,1,5
PO-00186,2026-01-01,Texon International,MAT_0271,801,742,3.23,2399.0,2026-01-21,2026-01-21,0,5
PO-01977,2026-01-02,Toray Industries,MAT_0114,473,473,20.13,9521.04,2026-02-20,2026-02-20,0,4
PO-00804,2026-01-02,Foam Italia,MAT_0086,2191,2191,4.12,9028.46,2026-01-18,2026-01-25,7,4
PO-00538,2026-01-02,Henkel AG,MAT_0088,544,544,20.51,11156.17,2026-01-15,2026-01-16,1,3
PO-01987,2026-01-02,NXP Semiconductors,MAT_0394,1851,1851,0.42,770.91,2026-01-17,2026-01-17,0,4
PO-00974,2026-01-02,Henkel AG,MAT_0330,501,501,14.81,7418.46,2026-01-15,2026-01-15,0,5
PO-01121,2026-01-02,Toray Industries,MAT_0403,782,782,18.1,14156.99,2026-02-10,2026-02-10,0,4
PO-00342,2026-01-02,Texon International,MAT_0116,522,483,2.52,1216.33,2026-01-21,2026-01-22,1,4
PO-01277,2026-01-03,Toray Composite,MAT_0180,177,177,52.36,9267.73,2026-02-10,2026-02-11,1,4
PO-00408,2026-01-03,NXP Semiconductors,MAT_0017,2537,2537,0.44,1114.63,2026-01-16,2026-01-16,0,5
PO-01481,2026-01-03,Zhejiang Paper,MAT_0347,8058,8058,0.07,572.95,2026-02-02,2026-02-02,0,4
PO-01465,2026-01-03,Coats Group,MAT_0022,731,731,5.9,4312.01,2026-01-17,2026-01-29,12,1
PO-01712,2026-01-03,Toray Industries,MAT_0500,2876,2876,19.02,54711.24,2026-02-20,2026-02-20,0,4
PO-00417,2026-01-04,Crocs Inc (supplied),MAT_0237,1625,1625,8.89,14442.54,2026-02-09,2026-02-09,0,3
PO-01035,2026-01-04,Coats Group,MAT_0269,234,234,5.84,1366.13,2026-01-19,2026-01-19,0,5
PO-01369,2026-01-04,Far Eastern Textile,MAT_0158,1193,1193,3.68,4390.32,2026-02-07,2026-02-07,0,4
PO-00259,2026-01-04,Global Trim,MAT_0112,9723,9723,0.14,1346.87,2026-02-09,2026-02-09,0,5
PO-00179,2026-01-04,Karteks Banja Luka,MAT_0417,7620,7620,0.63,4836.58,2026-01-06,2026-01-11,5,3
PO-00777,2026-01-04,Global Trim,MAT_0422,5858,5858,0.11,638.53,2026-02-15,2026-02-15,0,5
PO-01095,2026-01-04,Zecchetto Accessori,MAT_0320,1829,1829,0.8,1457.24,2026-01-12,2026-01-12,0,4
PO-00406,2026-01-04,Toray Industries,MAT_0490,1112,1112,18.14,20170.31,2026-02-09,2026-02-09,0,5
PO-00029,2026-01-05,Foam Italia,MAT_0447,672,672,4.9,3289.94,2026-01-22,2026-02-03,12,3
PO-00845,2026-01-05,Zhejiang Paper,MAT_0268,14724,14724,0.09,1296.3,2026-02-09,2026-02-09,0,5
PO-00310,2026-01-05,Karteks Banja Luka,MAT_0074,3048,3048,0.54,1635.43,2026-01-09,2026-01-15,6,4
PO-00075,2026-01-05,American & Efird,MAT_0021,1152,1152,6.75,7773.3,2026-02-14,2026-02-14,0,2
PO-00500,2026-01-05,Gomma Padana,MAT_0131,905,905,13.06,11817.51,2026-01-14,2026-01-14,0,4
PO-00624,2026-01-05,Zecchetto Accessori,MAT_0228,1217,1217,0.77,933.72,2026-01-15,2026-01-15,0,4
PO-00688,2026-01-06,Texon International,MAT_0023,1740,1740,3.39,5905.66,2026-01-24,2026-01-25,1,4
PO-00960,2026-01-06,Foam Italia,MAT_0298,2892,2892,3.89,11243.27,2026-01-20,2026-01-21,1,4
PO-00602,2026-01-06,Zhejiang Paper,MAT_0268,21146,21146,0.09,1867.17,2026-02-10,2026-02-10,0,4
PO-01437,2026-01-06,Karteks Banja Luka,MAT_0078,1669,1669,0.72,1197.54,2026-01-10,2026-01-10,0,1
PO-01641,2026-01-06,Zecchetto Accessori,MAT_0492,4088,4088,0.87,3540.58,2026-01-24,2026-01-24,0,5
PO-01789,2026-01-06,Global Trim,MAT_0341,6774,6343,0.11,697.36,2026-02-16,2026-02-18,2,3
PO-00582,2026-01-07,Gomma Padana,MAT_0169,968,968,12.21,11815.26,2026-01-14,2026-01-14,0,5
PO-01099,2026-01-07,Toray Composite,MAT_0216,133,118,39.74,4689.5,2026-02-25,2026-02-28,3,4
PO-00314,2026-01-08,Toray Composite,MAT_0159,242,242,49.15,11895.04,2026-02-23,2026-02-26,3,5
PO-00441,2026-01-08,Far Eastern Textile,MAT_0334,3141,3141,3.18,9996.07,2026-02-07,2026-02-07,0,4
PO-01948,2026-01-08,Far Eastern Textile,MAT_0099,1457,1457,3.21,4675.62,2026-02-24,2026-02-28,4,4
PO-01638,2026-01-08,Far Eastern Textile,MAT_0178,3674,3674,2.79,10264.56,2026-02-07,2026-02-07,0,4
PO-01008,2026-01-08,Far Eastern Textile,MAT_0400,1043,1043,2.72,2833.1,2026-02-19,2026-02-19,0,4
PO-01992,2026-01-08,Shenzhen Minghui,MAT_0070,13721,13721,0.03,411.51,2026-02-18,2026-02-18,0,4
PO-00102,2026-01-08,American & Efird,MAT_0207,378,378,6.48,2447.97,2026-02-15,2026-02-15,0,5
PO-01959,2026-01-09,Texon International,MAT_0249,325,325,3.5,1136.62,2026-01-24,2026-01-24,0,5
PO-00096,2026-01-09,Zhejiang Paper,MAT_0172,9296,9296,0.09,857.0,2026-02-09,2026-02-17,8,4
PO-01000,2026-01-09,Coats Group,MAT_0058,738,738,4.93,3637.4,2026-01-21,2026-01-21,0,5
PO-00674,2026-01-09,Toray Composite,MAT_0369,243,243,44.16,10730.87,2026-02-16,2026-02-16,0,4
PO-00618,2026-01-09,Toray Composite,MAT_0390,141,141,45.71,6444.98,2026-03-04,2026-03-04,0,1
PO-01340,2026-01-09,American & Efird,MAT_0021,787,787,6.82,5369.56,2026-02-18,2026-02-18,0,3
PO-00337,2026-01-09,Gomma Padana,MAT_0196,846,846,12.65,10700.81,2026-01-25,2026-01-26,1,2
PO-00466,2026-01-10,Covestro AG,MAT_0441,1250,1250,8.43,10539.04,2026-01-22,2026-01-22,0,5
PO-00619,2026-01-10,Karteks Banja Luka,MAT_0361,2145,2145,0.7,1509.99,2026-01-14,2026-01-14,0,3
PO-00697,2026-01-10,Zhejiang Paper,MAT_0494,6247,6247,0.08,498.42,2026-02-14,2026-03-04,18,5
PO-00704,2026-01-10,Zhejiang Paper,MAT_0201,7964,5099,0.1,513.99,2026-02-15,2026-02-18,3,4
PO-01560,2026-01-10,Karteks Banja Luka,MAT_0080,1555,1555,0.5,770.79,2026-01-14,2026-01-14,0,4
PO-00289,2026-01-10,NXP Semiconductors,MAT_0193,4262,4262,0.49,2084.03,2026-01-26,2026-01-29,3,4
PO-01386,2026-01-11,Crocs Inc (supplied),MAT_0208,452,452,9.7,4383.84,2026-02-14,2026-02-14,0,1
PO-00816,2026-01-11,Shenzhen Minghui,MAT_0257,7936,6510,0.04,265.79,2026-02-17,2026-02-17,0,4
PO-01284,2026-01-11,American & Efird,MAT_0207,838,838,6.53,5470.1,2026-02-18,2026-02-18,0,4
PO-01590,2026-01-11,Toray Composite,MAT_0059,172,172,47.21,8120.06,2026-03-03,2026-03-03,0,5
PO-01217,2026-01-11,Zhejiang Paper,MAT_0172,5306,5306,0.09,486.89,2026-02-11,2026-02-11,0,5
PO-00750,2026-01-12,Zhejiang Paper,MAT_0268,6903,6903,0.09,632.81,2026-02-16,2026-02-16,0,5
PO-00014,2026-01-12,Toray Industries,MAT_0224,1288,1288,16.95,21832.64,2026-02-24,2026-02-25,1,4
PO-00162,2026-01-12,Texon International,MAT_0446,1826,1826,2.94,5372.81,2026-01-24,2026-01-24,0,4
PO-00637,2026-01-12,Global Trim,MAT_0151,2138,2138,0.1,214.48,2026-02-19,2026-02-20,1,4
PO-01063,2026-01-12,Texon International,MAT_0076,1243,1243,3.33,4144.67,2026-01-25,2026-01-25,0,4
PO-01109,2026-01-12,Covestro AG,MAT_0440,1194,1194,7.79,9303.87,2026-01-21,2026-01-21,0,5
PO-00931,2026-01-12,Far Eastern Textile,MAT_0310,1423,876,3.48,3050.16,2026-02-21,2026-02-21,0,4
PO-00581,2026-01-13,Toray Industries,MAT_0238,794,794,17.67,14026.17,2026-03-06,2026-03-12,6,4
PO-00375,2026-01-13,Coats Group,MAT_0245,1060,1060,5.17,5483.31,2026-01-28,2026-01-28,0,4
PO-01521,2026-01-13,American & Efird,MAT_0442,1542,1542,7.25,11180.01,2026-02-10,2026-02-10,0,5
PO-01231,2026-01-13,Shenzhen Minghui,MAT_0187,11010,11010,0.04,431.74,2026-02-23,2026-02-23,0,3
PO-00752,2026-01-13,Gomma Padana,MAT_0265,265,265,13.95,3695.92,2026-01-22,2026-01-22,0,3
PO-00079,2026-01-14,Covestro AG,MAT_0277,1367,1367,9.61,13142.85,2026-01-28,2026-01-28,0,4
